1720679517,00:14:22:01:23:45,2,2025-07-11,10:31:57,50,10,5,20,28,65,6.8,32,70
1720681380,00:14:22:01:23:45,2,2025-07-11,11:03:00,50,10,5,20,28,65,6.8,32,70
1720681380,00:14:22:01:23:45,2,2025-07-11,11:03:00,50,10,5,20,28,65,6.8,32,70
1720681380,00:14:22:01:23:45,2,2025-07-11,11:03:00,50,100,5,20,28,65,6.8,32,70
1720681380,00:14:22:01:23:45,2,2025-07-11,11:03:00,5000,10,5,20,28,65,6.8,32,70
1720681380,00:14:22:01:23:45,2,2025-07-11,11:03:00,50,10,5,20,28,65,6.8,32,70
1752215883.4048626,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,28,65,6.8,32,70
1752215913.2192783,00:14:22:01:23:45,2,2025-07-11,11:05:00,1000,10,5,20,28,65,6.8,32,70
1752215920.7670772,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,28,65,6.8,32,70
1752216122.481557,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,28,65,6.8,32,70
1752216173.6169045,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,8,5,6.8,32,74
1752216336.0942314,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,28,65,6.8,32,70
1752645976.031922,F4:65:0B:54:74:58,2,,,21.2,11,15,37,23.8,21.2,8.2,25.3,40.7
1752648413.903231,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,28,65,6.8,32,70
1752648417.7226923,F4:65:0B:54:74:58,2,,,21.1,11,14,37,23.3,21.1,8.1,25.3,44.4
1752648459.1077838,F4:65:0B:54:74:58,2,,,21.1,11,14,37,23.3,21.1,8.1,25.3,44.4
1752648500.4901533,F4:65:0B:54:74:58,2,,,21.1,11,14,37,23.4,21.1,8.1,25.3,44.4
1752648583.2613308,F4:65:0B:54:74:58,2,,,21.1,11,14,37,23.3,21.1,8.1,25.3,44.3
1752648624.64496,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.4,21.0,8.1,25.3,44.4
1752648666.029624,F4:65:0B:54:74:58,2,,,21.1,11,14,37,23.2,21.1,8.1,25.3,44.6
1752648707.4145746,F4:65:0B:54:74:58,2,,,20.9,11,14,37,23.2,20.9,8.1,25.3,44.5
1752648748.799786,F4:65:0B:54:74:58,2,,,20.8,11,14,37,23.3,20.8,8.1,25.4,44.4
1752648764.0745907,00:14:22:01:23:45,2,2025-07-11,11:05:00,50,10,5,20,28,65,6.8,32,70
1752648790.1822364,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.2,21.0,8.1,25.4,44.4
1752648946.9706714,00:14:22:01:23:45,2,2025-07-11,11:05:00,50000,10,5,20,28,65,6.8,32,70
1752648955.720716,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.3,21.0,8.1,25.4,44.6
1752648997.105879,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.4,21.0,8.1,25.4,44.7
1752649038.4894772,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.4,21.0,8.1,25.4,44.6
1752649079.8762977,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.4,21.0,8.1,25.4,44.8
1752649084.1734564,00:14:22:01:23:45,2,2025-07-11,11:05:00,50000,10,5,20,28,65,6.8,32,70
1752649121.2600021,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.3,21.0,8.1,25.4,44.6
1752649162.6420174,F4:65:0B:54:74:58,2,,,20.8,11,14,37,23.3,20.8,8.1,25.4,44.6
1752649204.0427196,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.4,21.0,8.0,25.4,44.9
1752649245.4186835,F4:65:0B:54:74:58,2,,,21.0,11,14,37,23.3,21.0,8.0,25.4,44.9
1752649286.7989113,F4:65:0B:54:74:58,2,,,20.8,11,14,37,23.4,20.8,8.0,25.4,44.8
1752649328.1825747,F4:65:0B:54:74:58,2,,,20.8,11,14,37,23.3,20.8,8.0,25.5,44.9
1752649369.5664122,F4:65:0B:54:74:58,2,,,20.9,11,14,37,23.3,20.9,8.0,25.5,45.1
1752649410.983124,F4:65:0B:54:74:58,2,,,20.8,11,14,37,23.3,20.8,8.0,25.5,45.4
